"off yellow","#f1f33f","off yellow"
"old pink","#c77986","old pink"
"old rose","#c87f89","old rose"
"olive brown","#645403","olive brown"
"olive drab","#6f7632","olive drab"
"olive green","#677a04","olive green"
"olive yellow","#c2b709","olive yellow"
"olive","#6e750e","olive"
"orange brown","#be6400","orange brown"
"orange pink","#ff6f52","orange pink"
"orange red","#fd411e","orange red"
"orange yellow","#ffad01","orange yellow"
"orange","#f97306","orange"
"orangeish","#fd8d49","orangeish"
"orangered","#fe420f","orangered"
"orangey brown","#b16002","orangey brown"
"orangey red","#fa4224","orangey red"
"orangey yellow","#fdb915","orangey yellow"
"orangish brown","#b25f03","orangish brown"
"orangish red","#f43605","orangish red"
"orangish","#fc824a","orangish"
"orchid","#c875c4","orchid"
"pale aqua","#b8ffeb","pale aqua"
"pale blue","#d0fefe","pale blue"
"pale brown","#b1916e","pale brown"
"pale cyan","#b7fffa","pale cyan"
"pale gold","#fdde6c","pale gold"
"pale green","#c7fdb5","pale green"
"pale grey","#fdfdfe","pale grey"
"pale lavender","#eecffe","pale lavender"
"pale light green","#b1fc99","pale light green"
"pale lilac","#e4cbff","pale lilac"
"pale lime green","#b1ff65","pale lime green"
"pale lime","#befd73","pale lime"
"pale magenta","#d767ad","pale magenta"
"pale mauve","#fed0fc","pale mauve"
"pale olive green","#b1d27b","pale olive green"
"pale olive","#b9cc81","pale olive"
"pale orange","#ffa756","pale orange"
"pale peach","#ffe5ad","pale peach"
"pale pink","#ffcfdc","pale pink"
"pale purple","#b790d4","pale purple"
"pale red","#d9544d","pale red"
"pale rose","#fdc1c5","pale rose"
"pale salmon","#ffb19a","pale salmon"
"pale sky blue","#bdf6fe","pale sky blue"
"pale teal","#82cbb2","pale teal"
"pale turquoise","#a5fbd5","pale turquoise"
"pale violet","#ceaefa","pale violet"
"pale yellow","#ffff84","pale yellow"
"pale","#fff9d0","pale"
"parchment","#fefcaf","parchment"
"pastel blue","#a2bffe","pastel blue"
"pastel green","#b0ff9d","pastel green"
"pastel orange","#ff964f","pastel orange"
"pastel pink","#ffbacd","pastel pink"
"pastel purple","#caa0ff","pastel purple"
"pastel red","#db5856","pastel red"
"pastel yellow","#fffe71","pastel yellow"
"pea green","#8eab12","pea green"
"pea soup green","#94a617","pea soup green"
"pea soup","#929901","pea soup"
"pea","#a4bf20","pea"
"peach","#ffb07c","peach"
"peachy pink","#ff9a8a","peachy pink"
"peacock blue","#016795","peacock blue"
"pear","#cbf85f","pear"
"periwinkle blue","#8f99fb","periwinkle blue"
"periwinkle","#8e82fe","periwinkle"
"perrywinkle","#8f8ce7","perrywinkle"
"petrol","#005f6a","petrol"
"pig pink","#e78ea5","pig pink"
"pine green","#0a481e","pine green"
"pine","#2b5d34","pine"
"pink purple","#db4bda","pink purple"
"pink red","#f5054f","pink red"
"pink","#ff81c0","pink"
"pink/purple","#ef1de7","pink/purple"
"pinkish brown","#b17261","pinkish brown"
"pinkish grey","#c8aca9","pinkish grey"
"pinkish orange","#ff724c","pinkish orange"
"pinkish purple","#d648d7","pinkish purple"
"pinkish red","#f10c45","pinkish red"
"pinkish tan","#d99b82","pinkish tan"
"pinkish","#d46a7e","pinkish"
"pinky purple","#c94cbe","pinky purple"
"pinky red","#fc2647","pinky red"
"pinky","#fc86aa","pinky"
"piss yellow","#ddd618","piss yellow"
"pistachio","#c0fa8b","pistachio"
"plum purple","#4e0550","plum purple"
"plum","#580f41","plum"
"poison green","#40fd14","poison green"
"poo brown","#885f01","poo brown"
"poo","#8f7303","poo"
"poop brown","#7a5901","poop brown"
"poop green","#6f7c00","poop green"
"poop","#7f5e00","poop"
"powder blue","#b1d1fc","powder blue"
"powder pink","#ffb2d0","powder pink"
"primary blue","#0804f9","primary blue"
"prussian blue","#004577","prussian blue"
"puce","#a57e52","puce"
"puke brown","#947706","puke brown"
"puke green","#9aae07","puke green"
"puke yellow","#c2be0e","puke yellow"
"puke","#a5a502","puke"
"pumpkin orange","#fb7d07","pumpkin orange"
"pumpkin","#e17701","pumpkin"
"pure blue","#0203e2","pure blue"
"purple blue","#632de9","purple blue"
"purple brown","#673a3f","purple brown"
"purple grey","#866f85","purple grey"
"purple pink","#e03fd8","purple pink"
"purple red","#990147","purple red"
"purple","#7e1e9c","purple"
"purple/blue","#5d21d0","purple/blue"
"purple/pink","#d725de","purple/pink"
"purpleish blue","#6140ef","purpleish blue"
"purpleish pink","#df4ec8","purpleish pink"
"purpleish","#98568d","purpleish"
"purpley blue","#5f34e7","purpley blue"
"purpley grey","#947e94","purpley grey"
"purpley pink","#c83cb9","purpley pink"
"purpley","#8756e4","purpley"
"purplish blue","#601ef9","purplish blue"
"purplish brown","#6b4247","purplish brown"
"purplish grey","#7a687f","purplish grey"
"purplish pink","#ce5dae","purplish pink"
"purplish red","#b0054b","purplish red"
"purplish","#94568c","purplish"
"purply blue","#661aee","purply blue"
"purply pink","#f075e6","purply pink"
"purply","#983fb2","purply"
"putty","#beae8a","putty"
"racing green","#014600","racing green"
"radioactive green","#2cfa1f","radioactive green"
"raspberry","#b00149","raspberry"
"raw sienna","#9a6200","raw sienna"
"raw umber","#a75e09","raw umber"
"really light blue","#d4ffff","really light blue"
"red brown","#8b2e16","red brown"
"red orange","#fd3c06","red orange"
"red pink","#fa2a55","red pink"
"red purple","#820747","red purple"
"red violet","#9e0168","red violet"
"red wine","#8c0034","red wine"
"red","#e50000","red"
"reddish brown","#7f2b0a","reddish brown"
"reddish grey","#997570","reddish grey"
"reddish orange","#f8481c","reddish orange"
"reddish pink","#fe2c54","reddish pink"
"reddish purple","#910951","reddish purple"
"reddish","#c44240","reddish"
"reddy brown","#6e1005","reddy brown"
"rich blue","#021bf9","rich blue"
"rich purple","#720058","rich purple"
"robin egg blue","#8af1fe","robin egg blue"
"robin's egg blue","#98eff9","robin's egg blue"
"robin's egg","#6dedfd","robin's egg"
"rosa","#fe86a4","rosa"
"rose pink","#f7879a","rose pink"
"rose red","#be013c","rose red"
"rose","#cf6275","rose"
"rosy pink","#f6688e","rosy pink"
